"PreSens Measurement Studio 2","2.1.0.443",""
"Date","Time","Channel","User","SensorID","Sensor_Name","delta_t","Time_Unit","Value","O2_Unit","Mode","Phase","Phase_Unit","Amplitude","Amplitude_Unit","Temp","Temp_Unit","Pressure","Pressure_Unit","Salinity","Salinity_Unit","Error","Cal0","Cal0_Unit","T0","T0_Unit","O2Cal2nd","O2_Unit","Cal2nd","Cal2nd_Unit","T2nd","T2nd_Unit","CalPressure","CalPressure_Unit","f1","dPhi1","dkSv1","dPhi2","dkSv2","m","Cal_Mode","SignalLEDCurrent","User_Signal_Intensity","ReferenceLEDCurrent","Reference_Amplitude","Device_Serial","FwVersion","SwVersion","Sensor_Type","BatchID","Calibration_Date","Sensor_Lot","PreSens_Calibr","Battery_Voltage","Battery_Voltage_Unit"
"08/02/2018","16:03:10","6","default","133262839","O6","0.000","min","144.263","μmol/L","Humid","21.034","deg","161305","µV","35.933","°C","1012.000","hPa","39.0","pmil","0","55.560","deg","20.000","°C","100.000","%a.s.","22.110","deg","20.000","°C","976.000","hPa","0.861","-0.02617","0.00035","0","0","13.56","Humid","65.03","1","38.00","245539.45","SABD0001000008","AAV1.0.0.11","2.1.0.443","PSt7-10","171011-006","6/6/2018 9:05:59 AM","1443-01","0","no battery","V"
"08/02/2018","16:03:11","6","default","133262839","O6","0.023","min","144.346","μmol/L","Humid","21.030","deg","161218","µV","35.927","°C","1012.000","hPa","39.0","pmil","0","55.560","deg","20.000","°C","100.000","%a.s.","22.110","deg","20.000","°C","976.000","hPa","0.861","-0.02617","0.00035","0","0","13.56","Humid","65.03","1","38.00","245508.47","SABD0001000008","AAV1.0.0.11","2.1.0.443","PSt7-10","171011-006","6/6/2018 9:05:59 AM","1443-01","0","no battery","V"
"08/02/2018","16:03:12","6","default","133262839","O6","0.039","min","144.392","μmol/L","Humid","21.028","deg","161171","µV","35.923","°C","1012.000","hPa","39.0","pmil","0","55.560","deg","20.000","°C","100.000","%a.s.","22.110","deg","20.000","°C","976.000","hPa","0.861","-0.02617","0.00035","0","0","13.56","Humid","65.03","1","38.00","245489.46","SABD0001000008","AAV1.0.0.11","2.1.0.443","PSt7-10","171011-006","6/6/2018 9:05:59 AM","1443-01","0","no battery","V"
"08/02/2018","16:03:13","6","default","133262839","O6","0.056","min","144.400","μmol/L","Humid","21.026","deg","161113","µV","35.926","°C","1012.000","hPa","39.0","pmil","0","55.560","deg","20.000","°C","100.000","%a.s.","22.110","deg","20.000","°C","976.000","hPa","0.861","-0.02617","0.00035","0","0","13.56","Humid","65.03","1","38.00","245455.33","SABD0001000008","AAV1.0.0.11","2.1.0.443","PSt7-10","171011-006","6/6/2018 9:05:59 AM","1443-01","0","no battery","V"
"08/02/2018","16:03:14","6","default","133262839","O6","0.073","min","144.487","μmol/L","Humid","21.023","deg","161085","µV","35.918","°C","1012.000","hPa","39.0","pmil","0","55.560","deg","20.000","°C","100.000","%a.s.","22.110","deg","20.000","°C","976.000","hPa","0.861","-0.02617","0.00035","0","0","13.56","Humid","65.03","1","38.00","245458.80","SABD0001000008","AAV1.0.0.11","2.1.0.443","PSt7-10","171011-006","6/6/2018 9:05:59 AM","1443-01","0","no battery","V"
"08/02/2018","16:03:15","6","default","133262839","O6","0.089","min","144.364","μmol/L","Humid","21.022","deg","161046","µV","35.942","°C","1012.000","hPa","39.0","pmil","0","55.560","deg","20.000","°C","100.000","%a.s.","22.110","deg","20.000","°C","976.000","hPa","0.861","-0.02617","0.00035","0","0","13.56","Humid","65.03","1","38.00","245441.13","SABD0001000008","AAV1.0.0.11","2.1.0.443","PSt7-10","171011-006","6/6/2018 9:05:59 AM","1443-01","0","no battery","V"
"08/02/2018","16:03:16","6","default","133262839","O6","0.107","min","144.439","μmol/L","Humid","21.018","deg","161006","µV","35.938","°C","1012.000","hPa","39.0","pmil","0","55.560","deg","20.000","°C","100.000","%a.s.","22.110","deg","20.000","°C","976.000","hPa","0.861","-0.02617","0.00035","0","0","13.56","Humid","65.03","1","38.00","245429.27","SABD0001000008","AAV1.0.0.11","2.1.0.443","PSt7-10","171011-006","6/6/2018 9:05:59 AM","1443-01","0","no battery","V"
"08/02/2018","16:03:17","6","default","133262839","O6","0.123","min","144.557","μmol/L","Humid","21.016","deg","160981","µV","35.921","°C","1012.000","hPa","39.0","pmil","0","55.560","deg","20.000","°C","100.000","%a.s.","22.110","deg","20.000","°C","976.000","hPa","0.861","-0.02617","0.00035","0","0","13.56","Humid","65.03","1","38.00","245426.03","SABD0001000008","AAV1.0.0.11","2.1.0.443","PSt7-10","171011-006","6/6/2018 9:05:59 AM","1443-01","0","no battery","V"
"08/02/2018","16:03:18","6","default","133262839","O6","0.140","min","144.541","μmol/L","Humid","21.016","deg","160948","µV","35.924","°C","1012.000","hPa","39.0","pmil","0","55.560","deg","20.000","°C","100.000","%a.s.","22.110","deg","20.000","°C","976.000","hPa","0.861","-0.02617","0.00035","0","0","13.56","Humid","65.03","1","38.00","245418.22","SABD0001000008","AAV1.0.0.11","2.1.0.443","PSt7-10","171011-006","6/6/2018 9:05:59 AM","1443-01","0","no battery","V"
"08/02/2018","16:03:19","6","default","133262839","O6","0.156","min","144.600","μmol/L","Humid","21.012","deg","160919","µV","35.923","°C","1012.000","hPa","39.0","pmil","0","55.560","deg","20.000","°C","100.000","%a.s.","22.110","deg","20.000","°C","976.000","hPa","0.861","-0.02617","0.00035","0","0","13.56","Humid","65.03","1","38.00","245412.50","SABD0001000008","AAV1.0.0.11","2.1.0.443","PSt7-10","171011-006","6/6/2018 9:05:59 AM","1443-01","0","no battery","V"
"08/02/2018","16:03:20","6","default","133262839","O6","0.173","min","144.570","μmol/L","Humid","21.010","deg","160897","µV","35.933","°C","1012.000","hPa","39.0","pmil","0","55.560","deg","20.000","°C","100.000","%a.s.","22.110","deg","20.000","°C","976.000","hPa","0.861","-0.02617","0.00035","0","0","13.56","Humid","65.03","1","38.00","245411.60","SABD0001000008","AAV1.0.0.11","2.1.0.443","PSt7-10","171011-006","6/6/2018 9:05:59 AM","1443-01","0","no battery","V"
"08/02/2018","16:03:21","6","default","133262839","O6","0.189","min","144.635","μmol/L","Humid","21.007","deg","160865","µV","35.928","°C","1012.000","hPa","39.0","pmil","0","55.560","deg","20.000","°C","100.000","%a.s.","22.110","deg","20.000","°C","976.000","hPa","0.861","-0.02617","0.00035","0","0","13.56","Humid","65.03","1","38.00","245402.49","SABD0001000008","AAV1.0.0.11","2.1.0.443","PSt7-10","171011-006","6/6/2018 9:05:59 AM","1443-01","0","no battery","V"
"08/02/2018","16:03:22","6","default","133262839","O6","0.206","min","144.618","μmol/L","Humid","21.007","deg","160840","µV","35.931","°C","1012.000","hPa","39.0","pmil","0","55.560","deg","20.000","°C","100.000","%a.s.","22.110","deg","20.000","°C","976.000","hPa","0.861","-0.02617","0.00035","0","0","13.56","Humid","65.03","1","38.00","245398.50","SABD0001000008","AAV1.0.0.11","2.1.0.443","PSt7-10","171011-006","6/6/2018 9:05:59 AM","1443-01","0","no battery","V"
